timestamp,timein,lat,long,flight number,k_mean,atm_score
1609554527,0.758978989,11.18195634,107.2292751,BR395,0,0
1609555329,1.523889013,10.98964514,107.312387,CI781,0,0
1609579235,0.757447491,11.06347046,107.2886761,CI783,0,0
1609553768,0.786553524,11.11120956,107.2681772,CX767,0,0
1609584381,0.787172866,11.07795856,107.2829068,CX799,0,0
1609563653,0.788746165,11.08264749,107.2809569,CZ489,0,0
1609539373,0.815635745,11.00932514,107.3069631,JL79,0,0
1609538136,0.819712339,11.12489223,107.2614871,LD561,0,0
1609523318,0.799980558,10.94798032,107.3218229,MU7053,0,0
1609530651,0.743194601,11.07958772,107.2822339,NH833,0,0
1609595759,0.812029202,11.05703854,107.2911156,NH891,0,0
1609565969,0.992127664,10.9937677,107.3113031,OZ3951,0,0
1609600487,0.842221567,11.02415149,107.3024545,OZ735,0,0
1609548845,1.29674035,10.99216863,107.3117268,PR591,0,0
1609558415,0.837672312,11.17031574,107.236442,QH1123,0,0
1609596171,0.887581755,10.98850567,107.3126818,QH1125,0,0
1609596540,0.855471084,11.13419864,107.2567178,QH1143,0,0
1609576248,0.808482281,11.19198638,107.2228377,QH1153,0,0
1609584648,0.816652788,11.1355927,107.2559878,QH1173,0,0
1609573252,0.90466381,10.98971098,107.3123699,QH1321,0,0
1609564862,0.813877703,11.12758005,107.2601281,QH1335,0,0
1609599837,0.731695245,10.98772891,107.3128815,QH1541,0,0
1609589236,0.805583849,11.20586748,107.2135121,QH1547,0,0
1609555118,1.53550761,10.98736548,107.3129746,QH155,0,0
1609601300,0.725837722,11.1802564,107.2303419,QH171,0,0
1609568194,0.856670585,11.03024682,107.3004936,QH1971,0,0
1609550914,0.900402903,10.9937677,107.3113031,QH203,0,0
1609555899,1.292343196,11.05332209,107.2924916,QH205,0,0
1609564993,0.93323528,11.03330133,107.2994872,QH207,0,0
1609548682,1.256835558,11.05698642,107.2911351,QH209,0,0
1609591413,0.810181979,11.10949463,107.2689893,QH215,0,0
1609577367,0.833917837,11.15925624,107.2429587,QH241,0,0
1609586783,1.158167318,10.99459494,107.3110823,QH243,0,0
1609597967,0.821134698,11.06823411,107.2868214,QH247,0,0
1609606050,0.753564612,11.12577991,107.2610399,QH281,0,0
1609601721,0.776104215,11.13038541,107.2586937,QH285,0,0
1609606386,0.840572124,11.11168604,107.2679506,RH319,0,0
1609556238,1.148959681,11.05586383,107.2915532,VJ129,0,0
1609524204,0.799748438,11.25020016,107.1802002,VJ133,0,0
1609586481,0.964425463,10.98736548,107.3129746,VJ135,0,0
1609562056,0.812540364,11.08732109,107.2789725,VJ137,0,0
1609578718,0.897625886,11.04455228,107.2956418,VJ139,0,0
1609574315,0.794339875,11.15608298,107.2447773,VJ141,0,0
1609593832,0.76663973,11.08498479,107.2799696,VJ145,0,0
1609548455,1.018302424,11.03043281,107.3004328,VJ147,0,0
1609606556,0.870341162,11.07522106,107.2840263,VJ151,0,0
1609599315,0.95772218,10.99061022,107.3121358,VJ155,0,0
1609588521,0.782262373,10.25156714,106.2692786,LD562,1,0
1609554538,0.891215432,10.205691,106.3482438,MH750,1,0
1609580600,0.835640931,10.27141092,106.24138,QH1522,1,0
