,timestamp,lat,long,flight number,k_mean
27846,1619324554.0,10.268452167520923,106.24535650256276,VN7842,1
27847,1619345014.0,10.172577002105614,106.8750220006016,VN8056,3
27848,1619324802.0,10.142045208578526,106.75,VN8058,3
27849,1619342070.0,10.17491582757154,106.42067337942768,VN8060,1
27850,1619318068.0,10.161475602850016,106.84,VN8064,3
27851,1619328750.0,10.13509917885332,106.66932821950856,VN8066,3
27852,1619345477.0,10.18502894347874,106.90812861793484,VN8068,3
27853,1619307700.0,10.177968295843897,106.89,VN8080,3
27854,1619313094.0,10.174325140365278,106.88,VN8086,3
27855,1619329535.0,10.13745706646212,106.71070201898918,VN8094,3
27856,1619340147.0,10.213825689395696,106.97,VN8098,3
27857,1619338833.0,10.326239999517751,106.1769759988426,VU300,1
27858,1619352027.0,10.75,105.97141745904428,VU328,2
27859,1619341044.0,11.00808777143652,107.30732288001111,VU359,0
27860,1619324618.0,10.959489440506651,107.31948944050666,VU673,0
27861,1619338486.0,10.98794993718436,107.31282478014523,VU679,0
27862,1619310255.0,11.169378322269887,107.23700531563182,VU751,0
27863,1619323953.0,11.037931255658094,107.29793125565809,VU757,0
27864,1619366071.0,11.03793125565809,107.29793125565809,VU787,0
27865,1619288220.0,11.077109495571523,107.2832554896669,ZH8011,0
27866,1619391787.0,11.081238125972996,106.0207808724702,3S690,2
27867,1619409056.0,11.006758456677025,107.3077065275233,BR391,0
27868,1619402498.0,11.039244915999396,107.29748305333132,BR395,0
27869,1619446268.0,10.986586719090871,107.31317343818174,CA609,0
27870,1619429243.0,10.992168633662068,107.31172681187816,CI783,0
27871,1619405192.0,11.0984752044727,107.27406921006356,CX767,0
27872,1619416110.0,10.990703772842288,107.31211131852687,CZ373,0
27873,1619438793.0,11.116623531812984,106.03675293637404,EK392,2
27874,1619431271.0,11.075634458553177,106.0184699818602,EK9856,2
27875,1619453361.0,11.03,106.00175385888502,EY975,2
27876,1619435931.0,10.8982468473493,105.97275495416538,FX6065,2
27877,1619447113.0,10.987026288652489,107.31306134018912,JL759,0
27878,1619386823.0,11.10831193473418,107.26954588578482,JL79,0
27879,1619446392.0,10.990783891778534,107.31209037807608,KE683,0
27880,1619387897.0,11.110562463383507,107.26848431092114,KE685,0
27881,1619440541.0,11.034750999919956,107.29900399967984,LD561,0
27882,1619441728.0,10.98838087562363,107.31271394030632,NH891,0
