timestamp,lat,long,flight number
1609464870.0666666,,,VJ207
1609480744.1724138,,,VJ211
1609492366.0,,,VJ213
1609519403.2068965,,,VJ215
1609504272.0,,,VJ217
1609496152.0,,,VJ221
1609509501.7333333,,,VJ225
1609478807.5142858,,,VJ231
1609472402.0,,,VJ241
1609504971.53125,,,VJ245
1609517360.548387,,,VJ247
1609498816.4827585,,,VJ249
1609504746.3793104,,,VJ261
1609497277.9285715,,,VJ271
1609469905.9285715,,,VJ273
1609479439.1818182,,,VJ275
1609487349.5454545,,,VJ277
1609505453.7142856,,,VJ281
1609518835.3448277,,,VJ287
1609468732.5,,,VJ303
1609502750.0666666,,,VJ307
1609481743.0,,,VJ309
1609491787.0769231,,,VJ311
1609518001.2692308,,,VJ313
1609473787.5517242,,,VJ320
1609476786.2222223,,,VJ322
1609495748.0270271,,,VJ326
1609489653.7058823,,,VJ336
1609465104.85,,,VJ338
1609515459.642857,,,VJ357
1609509088.0,,,VJ363
1609467429.7272727,,,VJ371
1609483061.8181818,,,VJ373
1609498384.0,,,VJ377
1609477565.1333334,,,VJ379
1609469725.0555556,,,VJ381
1609510571.032258,,,VJ383
1609486984.4347825,,,VJ387
1609508100.8965516,,,VJ397
1609504520.5,,,VJ603
1609485979.2333333,,,VJ621
1609502118.7142856,,,VJ623
1609464656.6875,,,VJ627
1609480340.3043478,,,VJ629
1609519668.6206896,,,VJ641
1609488830.1153846,,,VJ647
1609462564.0714285,,,VJ689
1609485392.9615386,,,VN1181
1609476544.0,,,VN1185
1609503496.0,,,VN1187
1609475230.357143,,,VN119
1609487166.3846154,,,VN1261
1609491081.2413793,,,VN1263
1609494810.7741935,,,VN1265
1609516457.4285715,,,VN1269
1609488604.0344827,,,VN127
1609477779.1818182,,,VN1271
1609487564.5555556,,,VN1275
1609500767.4814816,,,VN1279
1609494973.387097,,,VN131
1609491280.1612904,,,VN1341
1609475010.4444444,,,VN1345
1609484986.1666667,,,VN1347
1609509305.12,,,VN1349
1609465303.9310346,,,VN1351
1609469244.357143,,,VN1371
1609476130.46875,,,VN1373
1609488279.892857,,,VN1375
1609465734.0,,,VN1383
1609497577.4,,,VN1385
1609503382.0,,,VN1387
1609507825.4615386,,,VN1391
1609475926.3939395,,,VN1393
1609485775.0,,,VN1395
1609507473.7586207,,,VN1403
1609512241.0,,,VN141
1609486759.1764705,,,VN1415
1609506143.8148148,,,VN1417
1609501412.36,,,VN1427
1609471176.2105262,,,VN1461
1609511492.6363637,,,VN1465
1609467141.4761906,,,VN1661
1609514188.0,,,VN1820
1609476346.586207,,,VN1822
1609494088.25,,,VN1824
1609489863.586207,,,VN1826
1609506799.625,,,VN1830
1609492168.724138,,,VN1832
1609488965.32,,,VN1882
1609466297.2,,,VN207
1609473588.36,,,VN209
1609480544.0,,,VN211
1609489321.548387,,,VN213
1609495371.642857,,,VN215
1609510787.0344827,,,VN219
1609517580.4166667,,,VN221
1609470614.0,,,VN243
1609477004.3846154,,,VN251
1609519823.4117646,,,VN253
1609485577.7777777,,,VN257
1609436576.65625,,,VN261
1609492543.857143,,,VN263
1609498622.0,,,VN269
1609506395.4,,,VN275
1609513045.8709676,,,VN283
1609458199.7142856,,,VN5563
1609477152.357143,,,VN5564
1609511976.2692308,,,VN5735
1609465506.0,,,VN6003
1609470160.75,,,VN6005
1609473378.1666667,,,VN6009
1609482268.6363637,,,VN6011
1609496456.3235295,,,VN6015
1609503730.3333333,,,VN6017
1609516968.8,,,VN6021
1609461879.1333334,,,VN6025
1609508473.2,,,VN6027
1609437447.1785715,,,VN6031
1609483912.903226,,,VN6041
1609500335.5625,,,VN6043
1609482660.5714285,,,VN6053
1609497031.4,,,VN6055
1609509933.0666666,,,VN6059
1609514901.2580645,,,VN6061
1609500063.6774194,,,VN6203
1609511762.451613,,,VN6217
1609480157.125,,,VN6221
1609474805.7096775,,,VN6223
1609486606.0,,,VN6237
1609489489.2571428,,,VN6243
1609478618.7096775,,,VN6251
1609493865.4444444,,,VN6261
1609490030.0,,,VN6283
1609489149.0,,,VN6291
1609473987.46875,,,VN6431
1609519039.4347825,,,VN6443
1609473182.3666666,,,VN6451
1609475455.0,,,VN6510
1609486394.5384614,,,VN6514
1609509696.375,,,VN6520
1609483298.580645,,,VN7115
1609502990.935484,,,VN7121
1609490181.7575758,,,VN7181
1609467687.0,,,VN7205
1609462333.4666667,,,VN7245
1609487760.4814816,,,VN7247
1609438712.612903,,,VN7297
1609508909.4814816,,,VN7375
1609472971.1785715,,,VN7381
1609499554.8,,,VN7383
1609463220.0769231,,,VN7389
1609466546.2903225,,,VN7425
1609486177.8275862,,,VN7463
1609470939.8666666,,,VN7820
1609487914.0,,,VN7824
1609498163.642857,,,VN7830
1609482870.92,,,VN7832
1609464212.4583333,,,VN8050
1609492908.84,,,VN8056
1609483697.52,,,VN8066
1609485169.851852,,,VN8072
1609494627.7777777,,,VN8078
1609461289.7307692,,,VN8080
1609474171.6551723,,,VN8082
1609507196.0,,,VZ3970
1609439388.7058823,,,ZH8011
1609549376.64,,,3K555
1609555040.5,,,BR395
1609556435.0,,,CI781
1609579756.142857,,,CI783
1609554315.0,,,CX767
1609584920.8064516,,,CX799
1609564190.4444444,,,CZ489
1609597636.1176472,,,EK392
1609604661.909091,,,EY975
1609539929.9714286,,,JL79
1609538705.4242425,,,LD561
1609589385.0,,,LD562
1609555533.612903,,,MH750
1609523876.7407408,,,MU7053
1609531161.2903225,,,NH833
1609596317.7741935,,,NH891
1609566665.413793,,,OZ3951
1609601058.9444444,,,OZ735
1609549774.4827585,,,PR591
1609558991.0,,,QH1123
1609596789.0,,,QH1125
1609597140.24,,,QH1143
1609576806.5,,,QH1153
1609585214.142857,,,QH1173
1609573885.3913043,,,QH1321
1609565419.3333333,,,QH1335
1609581524.4375,,,QH1522
1609600338.9565217,,,QH1541
1609589799.0,,,QH1547
1609556231.4074075,,,QH155
1609601796.9565217,,,QH171
1609568785.483871,,,QH1971
1609551544.4642856,,,QH203
1609556824.483871,,,QH205
1609565652.6,,,QH207
1609549587.5384614,,,QH209
1609591975.3846154,,,QH215
1609577948.5555556,,,QH241
1609587611.1818182,,,QH243
1609598533.413793,,,QH247
1609606568.392857,,,QH281
1609602254.6774194,,,QH285
1609609667.4375,,,QR8968
1609606326.4347825,,,QR970
1609606966.0,,,RH319
1609557956.4,,,SQ178
1609581312.7407408,,,TR302
1609557055.2857144,,,VJ129
1609524756.4615386,,,VJ133
1609587144.9189188,,,VJ135
1609562620.0,,,VJ137
1609579342.15625,,,VJ139
1609574864.0,,,VJ141
1609594355.764706,,,VJ145
1609549173.3,,,VJ147
1609607157.0,,,VJ151
1609599984.4375,,,VJ155
1609608189.7419355,,,VJ159
1609603390.2692308,,,VJ169
1609603714.0,,,VJ173
1609547289.7,,,VJ175
